,company,description,website,region,year-selected,vertical,sub-vertical,entrepreneurs,fund,financing-round,status,year-invested
0,123Seguro,"123Seguro.com is a digital insurance broker. It compares, sells and manages insurance policies (car, motorcycle and life) from top insurers in Argentina, Colombia and Chile.",https://123seguro.com.ar/,Latin America,2016.0,Fintech,Insurance,"['{""name"": ""Bruno Ferrari"", ""url"": ""https://www.linkedin.com/in/brunoferrari""}', '{""name"": ""Martin Ferrari"", ""url"": ""https://www.linkedin.com/in/martin-ferrari-248a153a/""}']",,,,
1,2ULaundry,"2ULaundry provides an innovative and effortless solution to laundry and dry cleaning in a hassle-free manner, such as subscription-based cleaning solutions. The company recently implemented a franchising model for their laundromats called Laundrolab.",https://www.2ulaundry.com/,U.S. & Canada,2019.0,Retail & Consumer Tech,Services & Task Platforms,"['{""name"": ""Dan D\'Aquisto"", ""url"": ""https://www.linkedin.com/in/daquisto/""}', '{""name"": ""Alex Smereczniak"", ""url"": ""https://www.linkedin.com/in/alex-smereczniak-40310329/""}']",,,,
2,360VUZ,360VUZ is a leading immersive Social Mobile App with the biggest international immersive premium content library of over 20K+ hours.,https://360vuz.com/,Middle East,2022.0,Retail & Consumer Tech,Media & Entertainment,"['{""name"": ""Khaled Zaatarah"", ""url"": ""https://www.linkedin.com/in/khaledzaatarah/""}']",,,,
3,54gene,54gene is a digital health and drug discovery platform that seeks to leverage under-represented African genomic data in research.,https://54gene.com,Africa,2020.0,Healthcare,"Pharmaceuticals, Diagnostics, & Life Sciences","['{""name"": ""Abasi Ene-Obong"", ""url"": ""https://www.linkedin.com/in/abasieneobong/""}']",Fund III,Series B,Status: Active,Invested: 2021
4,99 Minutos,99 Minutos is a last-mile logistics company that reliably delivers products from enterprise e-commerce clients to the customer’s doorstep in as little as 99 minutes at low cost.,https://mx.99minutos.com/,Latin America,2020.0,Smart City,Logistics Tech,"['{""name"": ""Alexis Patjane"", ""url"": ""https://www.linkedin.com/in/alexis-patjane-48a73784/?originalSubdomain=mx""}']",Fund III,Series B,Status: Active,Invested: 2021
5,ABC da Construção,ABC is a dynamic and disruptive player in Brazil’s civil construction materials market.,http://www.abccomvoce.com.br,Latin America,2010.0,Smart City,Constructech,"['{""name"": ""Tiago Moura Mendon\\u00e7a"", ""url"": ""https://www.linkedin.com/in/tiago-moura-mendon%C3%A7a-11489825/""}']",Fund II,Series C,Status: Active,Invested: 2019
6,ACE EdVenture,ACE EdVenture (ACE) is a network of schools harboring a dynamic and interactive environment where students benefit from active learning methods.,https://aceedventure.com/,Asia,2017.0,Education & Talent,K-12,"['{""name"": ""Melinda Lim"", ""url"": ""https://www.linkedin.com/in/melinda-lim-47a9b984/""}', '{""name"": ""Anne Tham"", ""url"": ""https://www.linkedin.com/in/anne-tham-b45b93143/""}']",,,,
7,ADDI,"ADDI provides underserved consumers with simple, affordable and transparent loans at the point-of-sale.",https://addi.com/,Latin America,2020.0,Fintech,Lending,"['{""name"": ""Daniel Vallejo"", ""url"": ""https://www.linkedin.com/in/daniel-vallejo-83a01a41/?originalSubdomain=co""}', '{""name"": ""Santiago Suarez"", ""url"": ""https://www.linkedin.com/in/santisuarez/""}']",,,,
8,AIM Manager,"AIM offers property management software for large-scale real estate operators (supermarkets, malls etc). Its services include inventory control, assets and maintenance, access control, communications and operating efficiency.",https://aimmanager.com/,Latin America,2019.0,Enterprise Software & Services,Business Process Management,"['{""name"": ""Gert Findel"", ""url"": ""https://www.linkedin.com/in/gertfindel/?locale=es_ES""}', '{""name"": ""Carlos Contreras"", ""url"": ""https://www.linkedin.com/in/ccontres/?originalSubdomain=cl""}']",,,,
9,AIVA,Aiva is a company specialized in wealth management solutions for affluent and high-net-worth clients in Latin America and the Caribbean.,https://aiva.com/en/,Latin America,2007.0,Fintech,Wealth Management,"['{""name"": ""Federico Cella"", ""url"": ""https://uy.linkedin.com/in/fedcella""}', '{""name"": ""Maria Noel Ache"", ""url"": ""https://www.linkedin.com/in/marianoelache/?originalSubdomain=uy""}']",,,,
